[1] "p = 5"
[1] "class of p is numeric"
        rsID chr_name chr_position effect_allele reference_allele effect_weight
1  rs9940128       16     53766842             A                G    0.08658763
2  rs2168711       18     60181298             C                T    0.05963194
3  rs6751994        2       635866             G                A    0.10026071
4   rs543874        1    177920345             G                A    0.08529452
5 rs10182181        2     24927427             G                A    0.04555804
6  rs1501672        5     88667943             G                A    0.03178492
pop main
processing chr 1
processing chr 2
processing chr 3
processing chr 4
processing chr 5
processing chr 6
processing chr 7
processing chr 8
processing chr 9
processing chr 10
processing chr 11
processing chr 12
processing chr 13
processing chr 14
processing chr 15
processing chr 16
No variant match in /projects/rpci/wchs/pnfioric/geno_filter_WCHS_Merged_0.01_0.3_AABC_AMBER_FULL/split_files/main/wchs_chr16/chr16.5.gds
processing chr 17
processing chr 18
processing chr 19
processing chr 20
processing chr 21
processing chr 22
